timestamp,id,element,info
1698090500794,mouseMoved,mouse,-
1698090500801,mouseMoved,mouse,-
1698090500809,mouseMoved,mouse,-
1698090500832,mouseMoved,mouse,-
1698090500839,mouseMoved,mouse,-
1698090500869,mouseMoved,mouse,-
1698090500876,mouseMoved,mouse,-
1698090500900,mouseMoved,mouse,-
1698090500906,mouseMoved,mouse,-
1698090500914,mouseMoved,mouse,-
1698090500928,mouseMoved,mouse,-
1698090500938,mouseMoved,mouse,-
1698090500944,mouseMoved,mouse,-
1698090500951,mouseMoved,mouse,-
1698090500974,mouseMoved,mouse,-
1698090500981,mouseMoved,mouse,-
1698090500988,mouseMoved,mouse,-
1698090500996,mouseMoved,mouse,-
1698090501003,mouseMoved,mouse,-
1698090501011,mouseMoved,mouse,-
1698090501019,mouseMoved,mouse,-
1698090501026,mouseMoved,mouse,-
1698090501034,mouseMoved,mouse,-
1698090501041,mouseMoved,mouse,-
1698090501049,mouseMoved,mouse,-
1698090501056,mouseMoved,mouse,-
1698090501064,mouseMoved,mouse,-
1698090501071,mouseMoved,mouse,-
1698090501080,mouseMoved,mouse,-
1698090501086,mouseMoved,mouse,-
1698090501194,mouseMoved,mouse,-
1698090501205,mouseMoved,mouse,-
1698090501432,mouseMoved,mouse,-
1698090502391,mouseMoved,mouse,-
1698090502399,mouseMoved,mouse,-
1698090502407,mouseMoved,mouse,-
1698090502414,mouseMoved,mouse,-
1698090502421,mouseMoved,mouse,-
1698090502429,mouseMoved,mouse,-
1698090502436,mouseMoved,mouse,-
1698090502444,mouseMoved,mouse,-
1698090502451,mouseMoved,mouse,-
1698090502460,mouseMoved,mouse,-
1698090502466,mouseMoved,mouse,-
1698090502476,mouseMoved,mouse,-
1698090502482,mouseMoved,mouse,-
1698090502489,mouseMoved,mouse,-
1698090502496,mouseMoved,mouse,-
1698090502504,mouseMoved,mouse,-
1698090505778,mouseMoved,mouse,-
1698090505782,mouseMoved,mouse,-
1698090505916,mouseMoved,mouse,-
1698090505923,mouseMoved,mouse,-
1698090505932,mouseMoved,mouse,-
1698090505939,mouseMoved,mouse,-
1698090505947,mouseMoved,mouse,-
1698090505962,mouseMoved,mouse,-
1698090505970,mouseMoved,mouse,-
1698090505977,mouseMoved,mouse,-
1698090505984,mouseMoved,mouse,-
1698090505991,mouseMoved,mouse,-
1698090505999,mouseMoved,mouse,-
1698090506021,mouseMoved,mouse,-
1698090506029,mouseMoved,mouse,-
1698090506036,mouseMoved,mouse,-
1698090506051,mouseMoved,mouse,-
1698090506059,mouseMoved,mouse,-
1698090506066,mouseMoved,mouse,-
1698090506075,mouseMoved,mouse,-
1698090506082,mouseMoved,mouse,-
1698090506089,mouseMoved,mouse,-
1698090506097,mouseMoved,mouse,-
1698090506104,mouseMoved,mouse,-
1698090506111,mouseMoved,mouse,-
1698090506119,mouseMoved,mouse,-
1698090506134,mouseMoved,mouse,-
1698090506135,mouseMoved,mouse,-
1698090506142,mouseMoved,mouse,-
1698090506151,mouseMoved,mouse,-
1698090506157,mouseMoved,mouse,-
